hospital_name,city,state_code,rural_versus_urban,net_income,net_patient_revenue,total_costs,total_discharges,medicare_discharges,cost_to_charge_ratio,cost_of_charity_care,medicare_dependency_pct,charge_markup_ratio
"NORTHERN NEVADA MEDICAL CENTER",SPARKS,NV,U,12829539.00,162814800.00,132573663.00,5236,1232,0.0805,2180533.00,23.53,12.43
"SUMMERLIN HOSPITAL MEDICAL CENTER","LAS VEGAS",NV,U,73338114.00,443399845.00,362460482.00,23214,3252,0.0618,5331452.00,14.01,16.19
"HENDERSON HOSPITAL",HENDERSON,NV,U,68812357.00,369409028.00,283139274.00,20619,3311,0.0538,6903320.00,16.06,18.59
"NORTHERN NEVADA SIERRA MEDICAL CNTR",RENO,NV,U,-42246903.00,129117883.00,150026560.00,5507,906,0.1221,2599180.00,16.45,8.19
"THE VALLEY HOSPITAL",RIDGEWOOD,NJ,U,186114876.00,1024442467.00,751283757.00,22793,7949,0.2239,7537066.00,34.87,4.47
"ROBERT WOOD JOHNSON HOSPITAL @ HAMI",HAMILTON,NJ,U,8164655.00,224987211.00,209384425.00,6984,2348,0.1562,5897861.00,33.62,6.40
"WISHEK COMMUNITY HOSPITAL",WISHEK,ND,R,-122240.00,8564329.00,9509324.00,146,108,0.9516,13666.00,73.97,1.05
"HOSPITAL BUEN SAMARITANO",AGUADILLA,PR,U,-1562985.00,29130879.00,25008277.00,3112,196,0.4164,NULL,6.30,2.40
"AIKEN REGIONAL MEDICAL CENTER",AIKEN,SC,U,17164131.00,242086252.00,186284767.00,11544,2334,0.0991,8700800.00,20.22,10.09
"GREENWOOD REGIONAL REHABILITATION HO",GREENWOOD,SC,R,491387.00,19049217.00,19641523.00,659,526,NULL,NULL,79.82,1.39
"PALMETTO LOW COUNTRY BHD",CHARLESTON,SC,U,-1061018.00,15204050.00,15644041.00,2645,119,NULL,NULL,4.50,3.38
"THREE RIVER CTR FOR BEHAV HEALTH","WEST COLUMBIA",SC,U,960589.00,21746706.00,20775896.00,4571,215,NULL,NULL,4.70,4.25
"REBOUND BEHAVIORAL HEALTH",LANCASTER,SC,U,-988210.00,13974325.00,13520168.00,2487,216,NULL,NULL,8.69,5.72
"PIONEER MEMORIAL HOSPITAL AND HEALTH",VIBORG,SD,U,4194343.00,12788163.00,10736579.00,49,32,0.5983,3821.00,65.31,1.67
"CREEKSIDE BEHAVIORAL HEALTH",KINGSPORT,TN,U,1447817.00,18912727.00,17381149.00,2633,104,NULL,NULL,3.95,4.01
"FRIO REGIONAL HOSPITAL",PEARSALL,TX,R,3782683.00,25248334.00,22811240.00,402,58,0.2895,3576149.00,14.43,3.45
"MEMORIAL HERMANN TIRR",HOUSTON,TX,U,13967598.00,171898261.00,153554373.00,1643,310,NULL,NULL,18.87,3.10
"UBH DENTON HOSPITAL",DENTON,TX,U,-3467718.00,17651952.00,18792361.00,3151,67,NULL,NULL,2.13,2.64
"BEHAVIORAL HOSPITAL OF BELLAIRE",HOUSTON,TX,U,3520102.00,30430236.00,25706887.00,4625,230,NULL,NULL,4.97,3.11
"CEDAR CREST HOSPITAL",BELTON,TX,U,5934510.00,35558276.00,25070138.00,594,84,NULL,NULL,14.14,3.86
"ST. MARYS JANESVILLE HOSPITAL",JANESVILLE,WI,U,20139988.00,82001268.00,55906372.00,2598,969,0.1940,1241029.00,37.30,5.16
"ENCOMPASS HEALTH REHABILITATION HOSP",RICHARDSON,TX,U,4694622.00,30445446.00,25437832.00,1404,975,NULL,NULL,69.44,1.87
"CORPUS CHRISTI REHABILITATION HOSPIT","CORPUS CHRISTI",TX,U,5537279.00,20561796.00,15527728.00,880,521,NULL,NULL,59.20,1.79
"CORDOVA COMMUNITY MEDICAL CENTER",CORDOVA,AK,R,467078.00,14778367.00,12584773.00,54,27,0.6681,182424.00,50.00,1.50
"ROGERS REHABILITATION HOSPITAL",ROGERS,AR,U,-518505.00,1450453.00,2795440.00,63,43,NULL,NULL,68.25,1.07
"ROGERS REHABILITATION HOSPITAL",ROGERS,AR,U,162664.00,11365020.00,10991706.00,583,410,NULL,NULL,70.33,1.75
"WOODLAND HEALTHCARE",WOODLAND,CA,U,5908159.00,226616370.00,163815183.00,3186,753,0.1670,5498071.00,23.63,5.99
"SIERRA VISTA HOSPITAL",SACRAMENTO,CA,U,20370836.00,70331814.00,41401077.00,5029,333,NULL,NULL,6.62,3.07
"JOHN MUIR BEHAVIORAL HEALTH",CONCORD,CA,U,-2667777.00,44534181.00,45186486.00,3132,279,NULL,NULL,8.91,2.25
"SALINA SURGICAL HOSPITAL",SALINA,KS,R,5655544.00,30509252.00,24030370.00,643,397,0.3162,70528.00,61.74,3.16
"MAHNOMEN HEALTH CENTER",MAHNOMEN,MN,R,-1845908.00,12058180.00,12925927.00,36,14,0.5993,NULL,38.89,1.67
"SANFORD HOSPITAL TRACY",TRACY,MN,R,1702319.00,13135532.00,12448144.00,140,60,0.5504,377133.00,42.86,1.82
"WHEATLAND MEMORIAL HEALTHCARE",HARLOWTON,MT,R,1159234.00,10958525.00,10135799.00,36,14,0.8238,31682.00,38.89,1.21
"HAMPTON HOSPITAL",WESTHAMPTON,NJ,U,3531785.00,38172837.00,28253006.00,2448,193,NULL,NULL,7.88,2.39
